Date,Close
2019-10-30,67.720001
2019-10-31,67.57
2019-11-01,69.599998
2019-11-04,71.669998
2019-11-05,73.089996
2019-11-06,71.489998
2019-11-07,73.010002
2019-11-08,70.769997
2019-11-11,70.339996
2019-11-12,69.370003
2019-11-13,68.800003
2019-11-14,68.5
2019-11-15,69.190002
2019-11-18,68.519997
2019-11-19,67.82
2019-11-20,68.029999
2019-11-21,69.669998
2019-11-22,69.370003
2019-11-25,68.910004
2019-11-26,68.739998
2019-11-27,68.699997
2019-11-29,68.129997
2019-12-02,68.419998
2019-12-03,67.879997
2019-12-04,68.650002
2019-12-05,68.410004
2019-12-06,69.510002
2019-12-09,69.660004
2019-12-10,69.059998
2019-12-11,68.959999
2019-12-12,70.339996
2019-12-13,69.230003
2019-12-16,70
2019-12-17,69.68
2019-12-18,69.870003
2019-12-19,69.389999
2019-12-20,69.940002
2019-12-23,70.290001
2019-12-24,70.019997
2019-12-26,70.129997
2019-12-27,69.889999
2019-12-30,69.480003
2019-12-31,69.779999
2020-01-02,70.900002
2020-01-03,70.330002
2020-01-06,70.870003
2020-01-07,70.290001
2020-01-08,69.230003
2020-01-09,69.760002
2020-01-10,69.139999
2020-01-13,69.800003
2020-01-14,69.199997
2020-01-15,69.089996
2020-01-16,68.82
2020-01-17,68.559998
2020-01-21,67.580002
2020-01-22,67.190002
2020-01-23,66.769997
2020-01-24,66.32
2020-01-27,64.739998
2020-01-28,64.650002
2020-01-29,64.110001
2020-01-30,64.790001
2020-01-31,62.119999
2020-02-03,60.73
2020-02-04,59.970001
2020-02-05,62.73
2020-02-06,61.880001
2020-02-07,61.470001
2020-02-10,59.959999
2020-02-11,60.529999
2020-02-12,61.27
2020-02-13,60.93
2020-02-14,60.650002
2020-02-18,59.880001
2020-02-19,60.34
2020-02-20,59.860001
2020-02-21,59.130001
2020-02-24,56.360001
2020-02-25,54.200001
2020-02-26,53.009998
2020-02-27,49.82
2020-02-28,51.439999
2020-03-02,53.880001
2020-03-03,51.299999
2020-03-04,52.419998
2020-03-05,50.110001
2020-03-06,47.689999
2020-03-09,41.860001
2020-03-10,43.41
2020-03-11,41.98
2020-03-12,37.18
2020-03-13,38.119999
2020-03-16,34.490002
2020-03-17,36.810001
2020-03-18,33.119999
2020-03-19,34.43
2020-03-20,32.740002
2020-03-23,31.450001
2020-03-24,35.439999
2020-03-25,37.290001
2020-03-26,38.82
2020-03-27,36.950001
2020-03-30,37.5
2020-03-31,37.970001
2020-04-01,37.529999
2020-04-02,40.400002
2020-04-03,39.209999
2020-04-06,40.470001
2020-04-07,41.240002
2020-04-08,43.849998
2020-04-09,43.130001
2020-04-13,42.759998
2020-04-14,42.43
2020-04-15,40.48
2020-04-16,39.150002
2020-04-17,43.220001
2020-04-20,41.18
2020-04-21,40.959999
2020-04-22,42.130001
2020-04-23,43.450001
2020-04-24,43.73
2020-04-27,43.939999
